qa_id,task_type,question,answer,evidence_chunk_id,source_url,split
qa_00011,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-07?,"In 2025-07, national CPI inflation was 4.1% year-on-year and 2.9% month-on-month.",chunk_000646,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00012,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-08?,"In 2025-08, national CPI inflation was 3.1% year-on-year and -0.6% month-on-month.",chunk_000647,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00013,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-09?,"In 2025-09, national CPI inflation was 5.8% year-on-year and 2.1% month-on-month.",chunk_000648,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00014,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-10?,"In 2025-10, national CPI inflation was 6.2% year-on-year and 1.7% month-on-month.",chunk_000649,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00015,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-11?,"In 2025-11, national CPI inflation was 6.1% year-on-year and 0.4% month-on-month.",chunk_000650,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00016,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2025-12?,"In 2025-12, national CPI inflation was 5.6% year-on-year and -0.4% month-on-month.",chunk_000651,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,train
qa_00017,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2026-01?,"In 2026-01, national CPI inflation was 5.8% year-on-year and 0.4% month-on-month.",chunk_000652,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,test
qa_00018,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2026-02?,"In 2026-02, national CPI inflation was 7% year-on-year and 0.3% month-on-month.",chunk_000653,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,test
qa_00019,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2026-03?,"In 2026-03, national CPI inflation was 7.3% year-on-year and 1.2% month-on-month.",chunk_000654,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,test
qa_00020,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2026-04?,"In 2026-04, national CPI inflation was 10.9% year-on-year and 2.5% month-on-month.",chunk_000655,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,test
qa_00021,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2026-05?,"In 2026-05, national CPI inflation was 11.7% year-on-year and 0.5% month-on-month.",chunk_000656,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,test
qa_00022,fact_lookup,What were Pakistan's national CPI YoY and MoM inflation rates in 2026-06?,"In 2026-06, national CPI inflation was 11.1% year-on-year and -0.3% month-on-month.",chunk_000657,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,test
qa_00023,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-07-02?,"For the week ended 2026-07-02, combined SPI was 354.24 and week-on-week change was -0.9839%.",chunk_000754,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx,test
qa_00024,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-06-18?,"For the week ended 2026-06-18, combined SPI was 357.76 and week-on-week change was 0.46334%.",chunk_000760,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx,test
qa_00025,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-06-11?,"For the week ended 2026-06-11, combined SPI was 356.11 and week-on-week change was 0.157502%.",chunk_000766,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx,test
qa_00026,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-06-04?,"For the week ended 2026-06-04, combined SPI was 355.55 and week-on-week change was -0.556581%.",chunk_000772,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx,test
qa_00027,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-05-21?,"For the week ended 2026-05-21, combined SPI was 357.54 and week-on-week change was -0.326169%.",chunk_000778,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx,train
qa_00028,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-05-14?,"For the week ended 2026-05-14, combined SPI was 358.71 and week-on-week change was 0.467735%.",chunk_000784,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx,train
qa_00029,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-05-07?,"For the week ended 2026-05-07, combined SPI was 357.04 and week-on-week change was 0.79327%.",chunk_000790,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx,train
qa_00030,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-04-30?,"For the week ended 2026-04-30, combined SPI was 354.23 and week-on-week change was 0.622088%.",chunk_000796,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-30.04.2026.xlsx,train
qa_00031,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-04-23?,"For the week ended 2026-04-23, combined SPI was 352.04 and week-on-week change was -0.331248%.",chunk_000802,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-23.04.2026.xlsx,train
qa_00032,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-04-16?,"For the week ended 2026-04-16, combined SPI was 353.21 and week-on-week change was -0.68886%.",chunk_000808,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-16.04.2026.xlsx,train
qa_00033,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-04-09?,"For the week ended 2026-04-09, combined SPI was 355.66 and week-on-week change was 1.92583%.",chunk_000814,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-09.04.2026.xlsx,train
qa_00034,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-04-02?,"For the week ended 2026-04-02, combined SPI was 348.94 and week-on-week change was 1.01028%.",chunk_000820,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.04.2026.xlsx,train
qa_00035,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-03-26?,"For the week ended 2026-03-26, combined SPI was 345.45 and week-on-week change was 0.970391%.",chunk_000826,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-26.03.2026.xlsx,train
qa_00036,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-03-18?,"For the week ended 2026-03-18, combined SPI was 342.13 and week-on-week change was 0.207955%.",chunk_000832,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.03.2026.xlsx,train
qa_00037,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-03-11?,"For the week ended 2026-03-11, combined SPI was 341.42 and week-on-week change was 1.88904%.",chunk_000838,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-11.03.2026.xlsx,train
qa_00038,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-03-05?,"For the week ended 2026-03-05, combined SPI was 335.09 and week-on-week change was 0.368418%.",chunk_000844,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-05.03.2026.xlsx,train
qa_00039,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-02-26?,"For the week ended 2026-02-26, combined SPI was 333.86 and week-on-week change was -0.53922%.",chunk_000850,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-26.02.2026.xlsx,train
qa_00040,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-02-19?,"For the week ended 2026-02-19, combined SPI was 335.67 and week-on-week change was 1.16332%.",chunk_000856,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-19.02.2026.xlsx,train
qa_00041,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-02-12?,"For the week ended 2026-02-12, combined SPI was 331.81 and week-on-week change was -0.593187%.",chunk_000862,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-12.02.2026.xlsx,train
qa_00042,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-02-04?,"For the week ended 2026-02-04, combined SPI was 333.79 and week-on-week change was 0.0899577%.",chunk_000868,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.02.2026.xlsx,train
qa_00043,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-01-29?,"For the week ended 2026-01-29, combined SPI was 333.49 and week-on-week change was -0.0329736%.",chunk_000874,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-29.01.2026.xlsx,train
qa_00044,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-01-22?,"For the week ended 2026-01-22, combined SPI was 333.6 and week-on-week change was -0.477327%.",chunk_000880,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-22.01.2026.xlsx,train
qa_00045,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-01-15?,"For the week ended 2026-01-15, combined SPI was 335.2 and week-on-week change was 0.254225%.",chunk_000886,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-15.01.2026.xlsx,train
qa_00046,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-01-08?,"For the week ended 2026-01-08, combined SPI was 334.35 and week-on-week change was 0.11678%.",chunk_000892,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-08.01.2026.xlsx,train
qa_00047,fact_lookup,What was the combined SPI and weekly change for the week ended 2026-01-01?,"For the week ended 2026-01-01, combined SPI was 333.96 and week-on-week change was -0.672179%.",chunk_000898,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-01.01.2026.xlsx,train
qa_00048,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-12-24?,"For the week ended 2025-12-24, combined SPI was 336.22 and week-on-week change was -0.0921166%.",chunk_000904,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-24.12.2025.xlsx,train
qa_00049,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-12-18?,"For the week ended 2025-12-18, combined SPI was 336.53 and week-on-week change was 0.238287%.",chunk_000910,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-18.12.2025.xlsx,train
qa_00050,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-12-11?,"For the week ended 2025-12-11, combined SPI was 335.73 and week-on-week change was -0.0327537%.",chunk_000916,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.12.2025.xlsx,train
qa_00051,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-12-04?,"For the week ended 2025-12-04, combined SPI was 335.84 and week-on-week change was -0.636113%.",chunk_000922,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-04.12.2025.xlsx,train
qa_00052,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-11-27?,"For the week ended 2025-11-27, combined SPI was 337.99 and week-on-week change was 0.730166%.",chunk_000928,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-27.11.2025.xlsx,train
qa_00053,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-11-20?,"For the week ended 2025-11-20, combined SPI was 335.54 and week-on-week change was 0.0685932%.",chunk_000934,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-20.11.2025.xlsx,train
qa_00054,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-11-13?,"For the week ended 2025-11-13, combined SPI was 335.31 and week-on-week change was 0.527657%.",chunk_000940,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-13.11.2025.xlsx,train
qa_00055,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-11-06?,"For the week ended 2025-11-06, combined SPI was 333.55 and week-on-week change was -0.590111%.",chunk_000946,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-06.11.2025.xlsx,train
qa_00056,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-10-30?,"For the week ended 2025-10-30, combined SPI was 335.53 and week-on-week change was 0.116369%.",chunk_000952,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-30.10.2025.xlsx,train
qa_00057,fact_lookup,What was the combined SPI and weekly change for the week ended 2025-10-23?,"For the week ended 2025-10-23, combined SPI was 335.14 and week-on-week change was 0.224289%.",chunk_000958,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_-23.10.2025.xlsx,train
qa_00058,fact_lookup,What was Pakistan's national CPI index and WPI index in 2017-07?,"In 2017-07, the national CPI index was 107.1 and the WPI index was 105.3 on the 2015-16 base.",chunk_000658,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00059,fact_lookup,What was Pakistan's national CPI index and WPI index in 2017-08?,"In 2017-08, the national CPI index was 107.3 and the WPI index was 105.5 on the 2015-16 base.",chunk_000659,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00060,fact_lookup,What was Pakistan's national CPI index and WPI index in 2017-09?,"In 2017-09, the national CPI index was 108 and the WPI index was 105.7 on the 2015-16 base.",chunk_000660,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00061,fact_lookup,What was Pakistan's national CPI index and WPI index in 2017-10?,"In 2017-10, the national CPI index was 109.2 and the WPI index was 106.7 on the 2015-16 base.",chunk_000661,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00062,fact_lookup,What was Pakistan's national CPI index and WPI index in 2017-11?,"In 2017-11, the national CPI index was 110 and the WPI index was 107.8 on the 2015-16 base.",chunk_000662,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00063,fact_lookup,What was Pakistan's national CPI index and WPI index in 2017-12?,"In 2017-12, the national CPI index was 109.9 and the WPI index was 108.3 on the 2015-16 base.",chunk_000663,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00064,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-01?,"In 2018-01, the national CPI index was 110 and the WPI index was 111.1 on the 2015-16 base.",chunk_000664,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00065,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-02?,"In 2018-02, the national CPI index was 109.7 and the WPI index was 111.6 on the 2015-16 base.",chunk_000665,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00066,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-03?,"In 2018-03, the national CPI index was 110 and the WPI index was 111.5 on the 2015-16 base.",chunk_000666,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00067,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-04?,"In 2018-04, the national CPI index was 111.1 and the WPI index was 112.9 on the 2015-16 base.",chunk_000667,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00068,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-05?,"In 2018-05, the national CPI index was 111.7 and the WPI index was 115.2 on the 2015-16 base.",chunk_000668,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00069,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-06?,"In 2018-06, the national CPI index was 112.6 and the WPI index was 118.1 on the 2015-16 base.",chunk_000669,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00070,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-07?,"In 2018-07, the national CPI index was 114.3 and the WPI index was 122.4 on the 2015-16 base.",chunk_000670,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00071,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-08?,"In 2018-08, the national CPI index was 113.9 and the WPI index was 123.1 on the 2015-16 base.",chunk_000671,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00072,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-09?,"In 2018-09, the national CPI index was 113.9 and the WPI index was 121.2 on the 2015-16 base.",chunk_000672,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00073,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-10?,"In 2018-10, the national CPI index was 116.3 and the WPI index was 126.6 on the 2015-16 base.",chunk_000673,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00074,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-11?,"In 2018-11, the national CPI index was 116.2 and the WPI index was 127.9 on the 2015-16 base.",chunk_000674,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00075,fact_lookup,What was Pakistan's national CPI index and WPI index in 2018-12?,"In 2018-12, the national CPI index was 115.8 and the WPI index was 126.2 on the 2015-16 base.",chunk_000675,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00076,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-01?,"In 2019-01, the national CPI index was 116.1 and the WPI index was 125.1 on the 2015-16 base.",chunk_000676,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00077,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-02?,"In 2019-02, the national CPI index was 117.1 and the WPI index was 127.2 on the 2015-16 base.",chunk_000677,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00078,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-03?,"In 2019-03, the national CPI index was 119.5 and the WPI index was 130 on the 2015-16 base.",chunk_000678,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00079,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-04?,"In 2019-04, the national CPI index was 120.3 and the WPI index was 132.3 on the 2015-16 base.",chunk_000679,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00080,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-05?,"In 2019-05, the national CPI index was 121 and the WPI index was 134.2 on the 2015-16 base.",chunk_000680,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00081,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-06?,"In 2019-06, the national CPI index was 121.6 and the WPI index was 134.6 on the 2015-16 base.",chunk_000681,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00082,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-07?,"In 2019-07, the national CPI index was 123.9 and the WPI index was 138.7 on the 2015-16 base.",chunk_000682,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00083,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-08?,"In 2019-08, the national CPI index was 125.9 and the WPI index was 140.4 on the 2015-16 base.",chunk_000683,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00084,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-09?,"In 2019-09, the national CPI index was 126.9 and the WPI index was 140.5 on the 2015-16 base.",chunk_000684,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00085,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-10?,"In 2019-10, the national CPI index was 129.2 and the WPI index was 143.3 on the 2015-16 base.",chunk_000685,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00086,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-11?,"In 2019-11, the national CPI index was 130.9 and the WPI index was 142.2 on the 2015-16 base.",chunk_000686,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00087,fact_lookup,What was Pakistan's national CPI index and WPI index in 2019-12?,"In 2019-12, the national CPI index was 130.5 and the WPI index was 141.8 on the 2015-16 base.",chunk_000687,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00088,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-01?,"In 2020-01, the national CPI index was 133 and the WPI index was 144.3 on the 2015-16 base.",chunk_000688,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00089,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-02?,"In 2020-02, the national CPI index was 131.6 and the WPI index was 143.3 on the 2015-16 base.",chunk_000689,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00090,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-03?,"In 2020-03, the national CPI index was 131.7 and the WPI index was 142 on the 2015-16 base.",chunk_000690,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00091,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-04?,"In 2020-04, the national CPI index was 130.6 and the WPI index was 139.1 on the 2015-16 base.",chunk_000691,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00092,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-05?,"In 2020-05, the national CPI index was 131 and the WPI index was 136.2 on the 2015-16 base.",chunk_000692,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00093,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-06?,"In 2020-06, the national CPI index was 132.1 and the WPI index was 135.8 on the 2015-16 base.",chunk_000693,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00094,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-07?,"In 2020-07, the national CPI index was 135.4 and the WPI index was 143.1 on the 2015-16 base.",chunk_000694,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00095,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-08?,"In 2020-08, the national CPI index was 136.2 and the WPI index was 145 on the 2015-16 base.",chunk_000695,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00096,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-09?,"In 2020-09, the national CPI index was 138.3 and the WPI index was 146.5 on the 2015-16 base.",chunk_000696,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00097,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-10?,"In 2020-10, the national CPI index was 140.7 and the WPI index was 150.7 on the 2015-16 base.",chunk_000697,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00098,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-11?,"In 2020-11, the national CPI index was 141.8 and the WPI index was 149.3 on the 2015-16 base.",chunk_000698,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00099,fact_lookup,What was Pakistan's national CPI index and WPI index in 2020-12?,"In 2020-12, the national CPI index was 140.9 and the WPI index was 149.8 on the 2015-16 base.",chunk_000699,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00100,fact_lookup,What was Pakistan's national CPI index and WPI index in 2021-01?,"In 2021-01, the national CPI index was 140.6 and the WPI index was 153.5 on the 2015-16 base.",chunk_000700,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00101,fact_lookup,What was Pakistan's national CPI index and WPI index in 2021-02?,"In 2021-02, the national CPI index was 143.1 and the WPI index was 156.9 on the 2015-16 base.",chunk_000701,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00102,fact_lookup,What was Pakistan's national CPI index and WPI index in 2021-03?,"In 2021-03, the national CPI index was 143.6 and the WPI index was 162.7 on the 2015-16 base.",chunk_000702,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00103,fact_lookup,What was Pakistan's national CPI index and WPI index in 2021-04?,"In 2021-04, the national CPI index was 145.1 and the WPI index was 162.2 on the 2015-16 base.",chunk_000703,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
qa_00104,fact_lookup,What was Pakistan's national CPI index and WPI index in 2021-05?,"In 2021-05, the national CPI index was 145.2 and the WPI index was 162.6 on the 2015-16 base.",chunk_000704,https://www.pbs.gov.pk/wp-content/uploads/2020/07/indices.pdf,train
